"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"Ahmed_Chalabi_U000_vid06_clip05_2secs",0.837885752688988,-0.0844186430742484,0.743688122441439,0.474845150594168,1.16316039410577,1.61939342835786,-0.898822076789754,1.45927057065469,0.552053490847971,0.0289737403523881,0.276667226515489,0.322342464021158,-0.177476485380998,0.129058092485763,0.097757951811024,-0.569718343927341,-0.465089345828413,-1.04220324414724
"Aidan_Quinn_vid01_clip03_2secs",0.900068437150935,-0.331398959720524,0.557876644395558,0.062420530581087,1.00724325084339,1.06828576238917,-0.0545821071591976,-0.415135834291144,-0.464951461122246,-0.135738777601147,1.22552399218746,1.00285332713288,-0.258536070445369,1.34952074307494,1.30445223658599,-0.669061235122753,0.310381583548821,-0.365888445590929
"Aisha_Hinds_vid05_clip02_2secs",-0.512055655045774,-0.398330180391726,-0.898154957301839,-0.0413182257724536,0.812593995517877,0.774232709717684,-0.0259656676452457,0.109722847799701,0.0889697833926508,0.106820550205194,0.054967529546851,0.227469025984953,-0.239322352547641,-1.57102493541866,-1.61282989822605,0.327121237570576,-0.255301353985424,0.062738309247308
"Aishwarya_Rai_vid05_clip06_2secs",-0.490804465724676,-0.335696343739743,-0.814616417340618,0.114818100640051,-0.0363832261036437,0.0748673043025944,0.108722207366945,0.712800759479584,0.82883531931187,-0.0586209533953321,-0.944898441253172,-1.04193049427567,-0.200663889239631,-1.30773551731126,-1.34297415160589,0.40863657035554,0.401796602439131,0.801198353127513
"AJ_Cook_vid03_clip01_2secs",0.130257097398821,-1.17505052141084,-1.0430350131157,0.464235324998689,0.273444930478904,0.719511494740021,-0.357977813036455,0.617917382129987,0.25997618863145,0.0511624602500447,1.88799892300385,1.96982352026415,-0.945316951115717,-1.54698775173702,-1.70870933992838,-0.161346620069435,-0.202898610444281,-0.372408506230353
"Aki_Linnanahde",-0.943686803958033,0.655528128197746,-0.268890348890717,-0.505077843494079,-1.21796263734873,-1.70070429435878,0.207792288052028,-1.89079166595513,-1.67414254843615,0.110439889049621,-1.44110024528943,-1.26270220400491,0.860947730348815,-1.61562529852596,-1.47054402223252,-0.0634211342401399,0.0367790205327443,-0.0349894851372129
"Alan_Alda_vid04_clip01_2secs",-0.584426352816087,1.21808064700117,0.647065126725513,-0.116856624238033,2.17117756541257,2.06043442429767,-0.10168996075414,1.20779233733514,1.11013445762359,-0.070612430259305,2.36527491412493,2.24870661867185,0.378142107253061,0.371790130701862,0.434864517487257,-0.626731207026867,0.518469464685522,-0.115550114995579
"Alan_Ball_vid03_clip01_2secs",0.532956484165138,2.08534827395135,2.61349743274311,0.571080327338342,-1.23298199087395,-0.684535184808093,-0.173805662352886,-0.0501895824549475,-0.221087428950093,0.11546095931587,1.79404104629317,1.98061930149922,0.0019848240979327,0.0560256268377043,0.0552078647298148,-0.187582712961429,-0.804419482722359,-1.0001161486711
"Alanna_Ubach_vid01_clip05_2secs",-0.370225756902459,-1.53697336520914,-1.89728068282479,0.088575044636224,-0.150502568904266,-0.0643984689396326,0.0443750320794973,-0.593366943570566,-0.542682714889362,0.0907809294092034,-0.74183406924131,-0.595463959614006,-0.896754172635484,1.14395642791324,0.990483464465509,0.236258477038127,0.584549201579616,0.811896922372454
"Alastair_Campbell_vid03_clip01_2secs",-0.0703628491424758,0.15328399814302,0.0879505300118352,0.323610012888685,0.456464318653986,0.767781918130385,-0.174612581443478,-0.528371639256799,-0.700088984503005,0.0308729376027557,-0.990940921746377,-0.942171555108191,0.541097764648734,0.425880320938169,0.516633520793451,-0.553061968517234,0.0607820077669957,-0.499706828413082
