"","age.raw","age.pred","age.resid","makeup.raw","makeup.pred","makeup.resid","trait01.raw","trait01.pred","trait01.resid","trait02.raw","trait02.pred","trait02.resid","trait03.raw","trait03.pred","trait03.resid","trait04.raw","trait04.pred","trait04.resid","trait05.raw","trait05.pred","trait05.resid","glasses.raw","glasses.pred","glasses.resid","glasses.probs","glasses.resid.probs","gender.raw","gender.pred","gender.resid","gender.probs","gender.resid.probs"
"vid13_face01_2s",1.8,1.95094060537232,-0.143788594461701,0,-0.143247309293508,0.20015875520611,0.395183262766147,0.826117336798776,-0.458566051025314,-0.132492854251511,0.0473863954701753,-0.176012397745083,-1.52174872831627,-0.254343718443521,-1.37009696042576,0.734854345861348,-0.0491039902391692,0.895539536431465,1.26733433714835,-0.0599426943515448,1.33099901175212,0,0,-1.02849740932747,0.99995690427925,-1.01864820805746,1,1,1.06356968216696,0.0152303199414917,1.00988911726926
"vid15_face01_2s",1.4,1.96926796690813,-0.562819826529047,1,0.792867724217577,0.198627239544757,1.0786905830954,0.307030998850137,0.758187554593851,0.977357585879826,0.194054247885295,0.798419714259056,1.84120155865928,0.382954030520908,1.61559737670142,-0.796400285171804,-0.00811192326128532,-0.769052420260609,0.753005402620388,0.273075451774347,0.508245185710141,0,0,-1.02849740932747,0.998149880379067,-1.01891001036929,0,0,-1.05665024640851,0.85130017089579,-1.03433630588084
"vid16_face01_2s",2.8,3.06911906329771,-0.304911197074506,0,0.368953188033278,-0.347834730686476,0.391925623238161,0.165210698401419,0.217111554095165,-0.167984214482729,0.156385300736345,-0.312142372886012,-0.345853577398118,-0.0732256601883691,-0.301416789025065,-0.636807674405926,-0.000986643998914864,-0.632636627632007,-0.19782866837658,-0.302298286846516,0.0902937368123002,0,0,-1.02849740932747,0.99786340631789,-1.01895185104801,1,1,1.06356968216696,0.187627315140324,1.05134298755776
"vid17_face01_2s",5.2,3.6367078737633,1.50570148988025,0.4,0.461063894829876,-0.0463822088106413,1.72663939953039,0.518387924199148,1.18901392515971,0.865688932801397,0.597280902644187,0.314452165787901,-0.400643352294546,-0.0476173426066316,-0.371365710786542,-0.466782339285027,0.00475703339801279,-0.481294092379852,-0.169945510248023,-0.234172890264065,0.0550825311810245,0,0,-1.02849740932747,0.995380523478567,-1.01931838628662,1,1,1.06356968216696,0.430951564753563,1.52493057247523
"vid18_face01_2s",2.4,1.8950066099533,0.514293571113165,0.4,0.226591738129698,0.204475053463563,0.893158358287357,0.145830774582714,0.738252870106761,1.75148287034047,-0.769153334329733,2.46187390260126,-1.09706234090357,0.257550768913217,-1.24843257703505,1.07965069772468,0.0113881498557584,1.0435695191338,2.33316746764148,-0.147351789362147,2.47778611114937,1,0,36.0909090896266,0.984086997018076,48.4448165912417,1,1,1.06356968216696,0.0118225280191077,1.00957232951126
"vid18_face02_2s",4,3.76375753552793,0.17377242892971,0,0.503253296070639,-0.491519839824881,0.183975214910062,-0.148378569506752,0.331304689131449,0.487620839750536,0.409046032323147,0.110181200153679,-0.329936901485943,0.227791958086283,-0.463691057122693,-0.618872256464376,-0.0275369903511904,-0.528339324600824,0.027951015435705,-0.372760494445784,0.381332022858311,0,0,-1.02849740932747,0.94083058252407,-1.02942708811296,1,1,1.06356968216696,0.242097114212214,1.08639560465501
"vid18_face03_2s",2.2,2.66516915874649,-0.485447415445291,0.6,0.311817443803998,0.313293705956361,1.01157552197999,0.0530340297299036,0.951998143715193,0.518418047106103,-0.321135715819929,0.81515471768434,0.104822273596358,-0.458451062155776,0.377297800786676,-0.35991890930246,-0.00269737986100117,-0.350183250602959,-0.110968619211751,-0.469830081960583,0.332313426177851,0,0,-1.02849740932747,0.992898883290142,-1.01969182165139,1,1,1.06356968216696,0.0943217963652522,1.02105379074652
"vid18_face04_2s",2.2,3.15661747039167,-0.995770019697425,0,0.673977426705757,-0.674174311972007,-0.0567573586667968,0.111664624579438,-0.176564692186063,-0.198830008187957,-0.111992052093517,-0.0951955397205631,-0.604020138397939,-0.236437365697013,-0.462968248075936,-1.37938144065474,-0.0328361621364121,-1.27161157866932,-0.411042114265073,0.227465698121073,-0.613560839274231,0,0,-1.02849740932747,0.999882497587068,-1.01865891623076,1,1,1.06356968216696,0.259488582837759,1.10201258249221
"vid19_face01_2s",1.8,3.39749122544746,-1.64589463924197,0.8,0.458941443197276,0.355888561473372,1.09581876515473,1.01682447951899,0.0461600852341387,-0.369501516384803,-0.47297125849869,0.067424807217386,1.12949428907519,-0.110955351163041,1.19626561484346,-0.469393807335475,-0.00127821793484368,-0.464274340739995,-0.168967157323798,-0.543475705726774,0.342521812477615,0,0,-1.02849740932747,0.933017832107941,-1.03125538791578,0,1,-16.7307692269658,0.341647911281889,-5.47140596731348
"vid20_face01_2s",3.2,3.32305581590397,-0.168600504443459,0.4,0.258743818721498,0.170076159252887,0.357347564817799,0.441036929891755,-0.100816888596514,0.528404034542999,0.0775804526518058,0.4570063386419,-0.1025936922035,0.276438851165323,-0.265144952310691,-0.0826504356927292,-0.0132486167276825,-0.0385941435166058,-0.609631321755251,-0.15104584645393,-0.461591425768974,0,0,-1.02849740932747,0.989037053008535,-1.02028735562527,1,1,1.06356968216696,0.0604534268225559,1.01523354267672
