"cfs.glasses" "cfs.gender" "cfs.age" "cfs.makeup" "trait.factor01" "trait.factor02" "trait.factor03" "trait.factor04" "trait.factor05"
"1" 0.276437484604047 0.524103026725864 -0.00862750423360583 -0.0599194973613542 0 -0.0402131571043278 -0.047873880282316 0 -0.0163992239391398
"2" 0 0 0.0518171826888299 0 0 0 -0.0359947851862936 0 -0.0115553801413583
"3" 0.556169340937264 0.588436339247438 0 -0.163472132383088 0.0657974189194123 0.04542818229986 0.0954345524122776 -0.0260570562990577 -0.124343711435453
"4" 0.27667261836542 -0.233950373508411 -0.0513733903950423 0.0043725222284612 0.00444271770777004 0.0124883037071654 0.106588862175593 0 0
"5" -1.21344406214832 1.04998017221815 -0.063681535130102 -0.123640162756785 0.0141159991952396 -0.0340415978218799 -0.0136562253197102 0 -0.00144773726555588
"6" 0.637845674629886 1.28676012588047 0.235966091427524 -0.153515624911972 0.0953673262930135 0.0611470809899389 -0.0223702517912304 0 -0.0254356219963079
"7" 0 0 0.0145929376524699 -0.0125274657228694 0.0224477613733316 0.0290209393771167 0 0 -0.0109001944778992
"8" 1.15165941555679 0.840447960134566 -0.14025806873308 -0.114531743320824 0.132228452974611 0.0273718873835341 0.0175115942814986 0 0.00132864326560971
"9" 1.56549477938282 1.22865287973759 0.00353604643620894 -0.140820320617546 0.197201492542516 0 -0.141067913582751 0 -0.107616718293474
"10" 0 0 -0.178173864910719 0.0208764951476676 -0.0143513824206813 -0.0287825345045383 0.0472159198498738 0 0.0902020409798701
"11" 0.441735712284535 0.414137495384984 0.123697907103136 -0.0920659876003644 0.00670758321637053 0.0591108556331375 -0.0187264193604668 0 -0.0551275468843734
"12" -1.1124638928402 0.0417508127124191 -0.122690859195968 -0.00821924034807061 -0.214769703937273 -0.068398010372807 0.0945726144851295 0 0
"13" -0.566346951697466 0 -0.0850043229904897 0.00691703426017345 -0.0395071281057797 -0.0644736425960418 0.0304916607181216 0 0
"14" 0.0426201404014331 -0.572343419236835 -0.126826201719822 0.109614226087797 -0.100173595437766 -0.0402500423598505 0.0140835346006357 0 0.0721539919467329
"15" -2.66760544221964 -0.560333657934243 -0.0965643189415866 0.115900394397214 0 -0.0101676952596706 -0.00666501931165373 0 0.0776318148905254
"16" -1.48323827519936 0 0 0 0.0061370330722512 -0.0715249868991927 -0.140685833221459 0 0.0281178724685285
"17" 0.250557823600091 0 -0.0401643945118094 0.000908507021604913 0 -0.0324175176588576 0.0293549528879446 0 0
"18" 0 0 0 -0.0324561516626887 -0.0328802837003565 0.0106453148913128 0.11228653632866 0 -0.00546763886209023
"19" -0.781726357481727 -0.0807418493631477 0 0.0347685152339012 0.0611153205941933 -0.0477822537701115 -0.0597301332023377 0 0
"20" 0 -0.198883063365513 0.0746204975143939 0.0532464725037857 0 0 -0.0252969324948735 0 0.0210098498943735
"21" 0 -0.124797113581471 0 0.0360042361272581 0 0 -0.0472232756813124 0 0
"22" -0.295637833758261 0.0161433812501838 0.00823131239010116 0.00122138997165656 -0.00817407285683539 0 -0.0209303680455912 0 -0.01847484223943
"23" 0 0 -0.115995254609064 0.0333490636887213 -0.0791268533010433 -0.0808187384096003 0.0240345622167408 0 0.0282769168541745
"24" 0 0 -0.0796212777486033 0 0 -0.030040506123204 0 0 0.0484373898002104
"25" -0.107426689857731 0.153881147733468 -0.0100860647236708 -0.0421380413477958 -0.04662570576313 -0.0141845704684421 -0.00451635300956733 0 -0.0104743364909932
"26" -0.0373826954915656 0.24422971772881 -0.00979192442022857 -0.0649724548410657 0.0411392165816464 0 -0.00957887005418643 0 -0.0165667141498994
"27" 0.062532114961077 0 -0.0490094132844328 -0.00490449888754607 0.0028725193292654 -0.0185231291008917 -0.0228156628365095 0 0.0518307509193126
"28" -0.114282137793728 0 0.0124717464365701 0 0 0 -0.0209766183143927 0 -0.0140012417999749
"29" 0.402443427241745 0 0.0326845479225594 0 0 0 -0.0100065732327725 0 0
"30" 0.0141937234624372 0 0 0.0420697105510735 0.0453749633701579 0 -0.00862937547766683 0 0.105681598002864
"31" 0.0739638809801653 0.221648163057369 0 -0.0047916371154232 0 0 -0.0787989715777154 0 0
"32" 0.00401889031934446 0 -0.0503970281980937 0 -0.0254621307901814 0.00927910083439686 0.0373609761838356 0 0.000582724474951087
"33" 0.532503474923026 0 0.0561203005865585 -0.00272769671842519 0 0.0377102335096867 0.019872604629538 0 -0.022487077079301
"34" 0 0 0 -0.0137818352876715 0.0158598567474983 0 0 0 0.0319520676209429
